Blautia_A massiliensis subspecies 4
Blautia_A obeum
Blautia_A schinkii
Blochmannia herculeanus
Blochmannia vicinus
Bombella apis
Bombilactobacillus bombi
Bombilactobacillus mellis
Bordetella_C bronchialis
Borrelia anserina
Borreliella mayonii
Bosea caraganae
Bosea lupini
Bosea robiniae
Bosea thiooxidans
Botrimarina mediterranea
Boudabousia liubingyangii
Bowdeniella massiliensis
Brachybacterium halotolerans
Brachybacterium muris
Brachybacterium paraconglomeratum
Brachybacterium rhamnosum
Brachybacterium saurashtrense
Brachyspira hampsonii
Brachyspira hampsonii_C
Bradyrhizobium betae
Bradyrhizobium cajani
Bradyrhizobium canariense
Bradyrhizobium canariense_D
Bradyrhizobium cosmicum
Bradyrhizobium denitrificans
Bradyrhizobium ivorense
Bradyrhizobium jicamae_A
Bradyrhizobium neotropicale
Bradyrhizobium ottawaense
Bradyrhizobium septentrionale
Bradyrhizobium symbiodeficiens
Bradyrhizobium vignae
Bradyrhizobium viridifuturi
Bradyrhizobium zhanjiangense
Brasilonema sennae
Brenneria goodwinii
Brenneria nigrifluens
Brenneria nigrifluens subspecies 1
Brenneria nigrifluens subspecies 2
Brevibacillus centrosporus
Brevibacillus formosus
Brevibacterium aurantiacum
Brevibacterium jeotgali
Brevibacterium luteolum
Brevibacterium oceani
Brevibacterium ravenspurgense
Brevibacterium yomogidense_A
Brevirhabdus pacifica
Brevundimonas albigilva
Brevundimonas aurantiaca
Brevundimonas bullata
Brevundimonas halotolerans
Brevundimonas naejangsanensis
Brevundimonas naejangsanensis_A
Brevundimonas vesicularis
Buchananella hordeovulneris
Buttiauxella agrestis
Buttiauxella ferragutiae
Buttiauxella massiliensis
Butyribacter huaianensis
Butyribacter intestini
Butyricicoccus pullicaecorum
Butyricimonas faecalis
Butyricimonas faecihominis
Butyricimonas paravirosa
Butyricimonas synergistica
Butyricimonas virosa
Butyrivibrio hungatei_A
Butyrivibrio_A crossotus
Caballeronia concitans
Caballeronia cordobensis
Caballeronia glathei
Caballeronia grimmiae
Caballeronia jiangsuensis
Caballeronia turbans
Caecibacter massiliensis
Caenibius tardaugens
Caldalkalibacillus thermarum
Caldicellulosiruptor acetigenus
Caldicellulosiruptor bescii
Caldicellulosiruptor saccharolyticus
Caldicoprobacter oshimai
Caldimonas manganoxidans
Caldithrix abyssi
Calidifontimicrobium sediminis
Caloramator_A proteoclasticus
Caloranaerobacter azorensis
Calothrix desertica
Caminicella sporogenes
Campylobacter lanienae
Campylobacter_A anatolicus
Campylobacter_A caledonicus
Campylobacter_A mucosalis
Campylobacter_A pinnipediorum
Campylobacter_A rectus
Campylobacter_A showae_A
Campylobacter_A showae_D
Campylobacter_B blaseri
Campylobacter_B corcagiensis
Campylobacter_B hominis
Campylobacter_B sputorum
Campylobacter_B ureolyticus
Campylobacter_B ureolyticus subspecies 1
Campylobacter_B ureolyticus subspecies 2
Campylobacter_D armoricus
Campylobacter_D avium
Campylobacter_D cuniculorum
Campylobacter_D helveticus
Campylobacter_D insulaenigrae
Campylobacter_D ornithocola
Campylobacter_D peloridis
Campylobacter_D volucris
Campylobacter_E canadensis
Canicola haemoglobinophilus
Capnocytophaga bilenii
Capnocytophaga gingivalis
Capnocytophaga granulosa
Capnocytophaga haemolytica
Capnocytophaga leadbetteri
Capnocytophaga periodontitidis
Capnocytophaga sputigena
Capnocytophaga stomatis
Caproicibacter fermentans
Caproicibacterium lactatifermentans
Caproiciproducens galactitolivorans
Carboxydocella thermautotrophica
Carboxydothermus hydrogenoformans
Cardiobacterium hominis
Cardiobacterium valvarum
Carnobacterium_A alterfunditum
Carnobacterium_A iners
Carnobacterium_A mobile
Carnobacterium_A viridans
Castellaniella caeni
Castellaniella defragrans
Catellatospora bangladeshensis
Catellatospora citrea
Catellatospora methionotrophica
Catenibacterium mitsuokai
Caulobacter flavus
Caulobacter rhizosphaerae
Caulobacter segnis
Caviibacter abscessus
Cedecea davisae
Cedecea neteri
Cedecea neteri_A
Cedecea neteri_C
Celeribacter baekdonensis_A
Celeribacter ethanolicus
Celeribacter halophilus
Celeribacter indicus
Celeribacter_A marinus
Cellulomonas algicola
Cellulomonas denverensis
Cellulomonas fimi
Cellulomonas gelida
Cellulomonas hominis
Cellulomonas iranensis
Cellulomonas marina
Cellulomonas oligotrophica
Cellulomonas shaoxiangyii
Cellulomonas soli
Cellulomonas uda
Cellulomonas_A cellasea
Cellulophaga algicola
Cellulosilyticum lentocellum
Cellulosimicrobium cellulans
Cellulosimicrobium composti
Cellulosimicrobium funkei
Centipeda felix
Centipeda timonae
Cerasibacillus quisquiliarum
Cerasicoccus arenae
Cetia pacifica
Cetobacterium_A somerae
Chania oryzae
Chelativorans multitrophicus
Chelatococcus asaccharovorans
Chelatococcus_A caeni
Chelatococcus_A composti
Chelatococcus_A sambhunathii
Chelonobacter aquarius
Chelonobacter testudinis
Chitinibacter tainanensis
Chitinophaga barathri
Chitinophaga costaii
Chitinophaga ginsengisegetis
Chitinophaga oryzae
Chitinophaga pinensis_A
Chitinophaga solisilvae
Chitinophaga terrae
Chitinophaga vietnamensis
Chlamydia suis
Chlamydophila gallinacea
Chloracidobacterium thermophilum
Chlorobium ferrooxidans
Chlorobium phaeovibrioides
Christensenella minuta
Chromatocurvus halotolerans
Chromobacterium alkanivorans
Chromobacterium amazonense
Chromobacterium aquaticum
Chromobacterium phragmitis
Chromobacterium sphagni
Chromohalobacter beijerinckii
Chromohalobacter canadensis
Chromohalobacter israelensis
Chromohalobacter moromii
Chroococcidiopsis thermalis
Chroococcidiopsis thermalis subspecies 1
Chryseobacterium balustinum
Chryseobacterium binzhouense
Chryseobacterium candidae
Chryseobacterium capnotolerans
Chryseobacterium carnipullorum
Chryseobacterium cucumeris
Chryseobacterium culicis
Chryseobacterium daecheongense
Chryseobacterium formosense
Chryseobacterium gallinarum
Chryseobacterium gambrini
Chryseobacterium gleum
Chryseobacterium indologenes
Chryseobacterium indoltheticum
Chryseobacterium jejuense
Chryseobacterium joostei
Chryseobacterium lathyri
Chryseobacterium mucoviscidosis
Chryseobacterium oranimense
Chryseobacterium pennae
Chryseobacterium piperi
Chryseobacterium piscicola
Chryseobacterium rhizosphaerae
Chryseobacterium scophthalmum
Chryseobacterium shandongense
Chryseobacterium shigense
Chryseobacterium taihuense
Chryseobacterium vrystaatense
Chryseoglobus frigidaquae
Chthoniobacter flavus
Chthonomonas calidirosea
Citreicoccus inhibens
Citricoccus terreus
Clavibacter michiganensis
Cloacibacillus evryensis
Cloacibacillus porcorum
Cloacibacterium normanense
Clostridioides_A mangenotii
Clostridium celatum
Clostridium chauvoei
Clostridium chromiireducens
Clostridium chrysemydis
Clostridium cuniculi
Clostridium disporicum_B
Clostridium gasigenes
Clostridium neonatale
Clostridium paraputrificum
Clostridium paraputrificum subspecies 1
Clostridium paraputrificum subspecies 2
Clostridium saccharobutylicum
Clostridium saudiense
Clostridium septicum
Clostridium tertium
Clostridium_A leptum
Clostridium_A leptum subspecies 1
Clostridium_AD estertheticum
Clostridium_AD estertheticum subspecies 1
Clostridium_AD estertheticum subspecies 2
Clostridium_AD tagluense
Clostridium_AM drakei
Clostridium_AO tetanomorphum
Clostridium_AP scindens
Clostridium_AT prolinivorans
Clostridium_AU thermarum
Clostridium_E jeddahense
Clostridium_F niameyense
Clostridium_F tepidum
Clostridium_G cochlearium
Clostridium_H homopropionicum
Clostridium_H thermopalmarium
Clostridium_J argentinense
Clostridium_J senegalense
Clostridium_L algidicarnis
Clostridium_L simiarum
Clostridium_Q fessum
Clostridium_Q saccharolyticum_A
Clostridium_R aminophilum
Clostridium_S felsineum
Clostridium_T intestinale
Clostridium_W formicaceticum
Clostridium_X cadaveris
Clostridium_Y paradoxum
Cnuella takakiae
Cnuibacter physcomitrellae
Cobetia amphilecti
Cobetia amphilecti subspecies 1
Cobetia amphilecti subspecies 2
Cobetia marina
Cognaticolwellia aestuarii
Cognaticolwellia chukchiensis
Cognatishimia activa
Cohaesibacter intestini
Cohnella algarum
Cohnella phaseoli
Cohnella thailandensis
Cohnella xylanilytica
Collinsella aerofaciens_G
Collinsella aerofaciens_H
Collinsella aerofaciens_N
Collinsella bouchesdurhonensis
Collinsella ihumii
Collinsella intestinalis
